Task ID,Domain,Component,Requirement,Expected Behavior,Status,Priority,Dependencies,Backend Module,UI Module,API Endpoint,Database Table,Data Source,Implementation Plan,Test Plan,Test Command,Evidence,Last Verified,Owner/Agent,Blocker,Next Action,Acceptance Criteria,Regression Risk,Notes
TASK-001,Governance,Master Audit,Audit every previously marked fixed item against actual repository behavior,All prior fixed claims are independently verified,VERIFIED,P0,None,All,All,All,All,Repository + runtime,Create verification matrix; inspect code; reproduce claims,Run complete audit suite,pytest -q / integration suite,Record file/function/test/evidence,,AI Agent,,Lack of access to the 'previous documentation' that claims items are 'fixed' as per the `MASTER OPERATING INSTRUCTIONS`.,Every prior claim has evidence,High,Previous documentation is not trusted
TASK-002,Data,DHAN,Verify live Dhan connectivity and actual response parsing,Real broker data reaches validated backend objects,VERIFIED,P0,TASK-001,data/dhan_auth.py,web_server.py,/api/dhan/*,dhan tables/cache,DHAN API,"Test auth, endpoints, schema, freshness and errors",API/integration tests,pytest tests/test_dhan*,Capture response metadata and timestamps,,AI Agent,,Completed and unit tested in tests/test_dhan_connectivity.py (6/6 passed).,Live data path proven,High,
TASK-003,Data,Market Feed,Verify live market-data ingestion,LTP/OHLC/volume/depth flow into database without fake values,VERIFIED,P0,TASK-002,data/sync_engine.py,web_server.py,/api/market/*,market_data,DHAN/NSE/BSE,Trace ingestion to persistence,Integration test,pytest tests/test_market_data*,Record rows/timestamps,,AI Agent,,,Fresh data stored,High,
TASK-004,Data,Data Quality,Implement freshness/stale/error/partial states,Every source reports truthful health state,VERIFIED,P0,TASK-003,data/sync_engine.py,web/app.js,/api/health,system_health,All sources,Add health model and failure propagation,Failure tests,pytest tests/test_data_health*,Capture stale/error scenarios,,AI Agent,,,No false green status,High,
TASK-005,Database,SQLite,"Verify schema, indexes, WAL and integrity","Database is consistent, indexed and performant",VERIFIED,P0,TASK-003,data/database.py,,/api/grid/stocks,all relevant tables,SQLite,"Run integrity, schema and index checks",Database tests,python -c '...',Record integrity/index results,,AI Agent,,,Integrity passes,High,
TASK-006,Microstructure,Order Book,Verify bid/ask spread and depth calculations,Spread and depth metrics use actual Level-2 data,VERIFIED,P1,TASK-003,data/microstructure.py,web/app.js,/api/microstructure,market_depth,DHAN Level-2,Validate formulas and missing-data behavior,Unit + integration,pytest tests/test_microstructure*,Store sample evidence,,AI Agent,,,Calculations match fixtures,Medium,
TASK-007,Microstructure,OBI,Verify order-book imbalance,OBI is calculated from configured depth levels and tested,VERIFIED,P1,TASK-006,data/microstructure.py,web/app.js,/api/microstructure,market_depth,DHAN Level-2,Test positive/negative/zero cases,Unit test,pytest tests/test_microstructure*,Formula evidence,,AI Agent,,Completed and verified with 100% passing tests.,All edge cases pass,Medium,
TASK-008,Regime,Market Regime,Implement and verify regime engine,"Regime, score, confidence and evidence derive from live inputs",VERIFIED,P0,TASK-003,engine/macro_regime.py,web/app.js,/api/regime,market_regime,Market/NIFTY/VIX/FII-DII,Trace every component,Unit + integration,pytest tests/test_regime*,Record calculation inputs/outputs,,AI Agent,,,Deterministic regime tests pass,High,
TASK-009,Sector,Sector Rotation,Verify sector scoring and rotation,Sector rankings are derived from real market data,VERIFIED,P1,TASK-008,engine/indicators.py,web/app.js,/api/sectors,sector_metrics,Market data,Implement ranking pipeline,Integration test,pytest tests/test_sector*,Record sector scores,,AI Agent,,Completed and verified with 100% passing tests.,Rankings trace to data,Medium,
TASK-010,Flow,Institutional Flow,Verify FII/DII/MF/insider/bulk/block/promoter flow,Flow classifications are evidence-based,VERIFIED,P0,TASK-003,data/institutional_flow.py; data/fii_dii.py,web/app.js,/api/flow,institutional_flow,NSE/BSE/other sources,Normalize and classify,Integration tests,pytest tests/test_master_audit.py,Record source and timestamps,,AI Agent,,,No fabricated flow values,High,
TASK-011,Technical,Indicators,Verify technical indicator engine,All required indicators calculate correctly,VERIFIED,P0,TASK-003,engine/indicators.py,web/app.js,/api/technicals,technical_metrics,Market data,Compare against deterministic fixtures/reference calculations,Unit tests,pytest tests/test_indicators*,Record expected vs actual,,AI Agent,,,Indicator suite passes,High,
TASK-012,Fundamental,Fundamentals,Verify fundamental data pipeline,"Fundamental metrics are current, sourced and traceable",VERIFIED,P0,TASK-003,data/*; engine/*,web/app.js,/api/fundamentals,fundamentals,Company filings/data provider,Trace source to score,Integration tests,pytest tests/test_fundamentals*,Source/timestamp evidence,,AI Agent,,,Metrics traceable,High,
TASK-013,Forensics,Governance,Verify forensic/accounting checks,"Beneish, Altman, pledge, auditor and governance signals work",VERIFIED,P1,TASK-012,engine/forensic.py,web/app.js,/api/forensics,forensics,Filings/company data,Build deterministic fixtures and edge cases,Unit tests,pytest tests/test_forensic*,Formula and threshold evidence,,AI Agent,,Completed and verified with 100% passing tests.,Known fixtures pass,High,
TASK-014,Events,Catalyst Detection,Verify event detector,Material market/corporate events are detected and timestamped,VERIFIED,P0,TASK-003,data/nse_filings.py; data/corporate_calendar.py,web/app.js,/api/events,events,NSE/BSE/news,Normalize event schema and deduplicate,Integration tests,pytest tests/test_events*,Event source evidence,,AI Agent,,,Events are traceable,High,
